ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
952490,4,QA,19.9999989126,0.0500000009,1.013177235846202,16,2,-3.8459829628,0.18596106549538344,3.7192212429616864,0.18354248291027722,0.18596106549538344,0.19348632686099834
955983,4,QA,19.99999998,0.05,1.009854129506788,24,3,-3.6621880435,0.17716255146045418,3.5432510292090833,0.17543380403561873,0.17716255146045418,0.37501298215208395
1000272,2,QA,20.0006851584,0.0499982746,0.9945961400739217,8,2,-2.8410550109,0.351155279931906,7.023347960329534,0.35306318392288044,0.351155279931906,0.43739149096623026
1035368,2,QA,3.3328616072,0.2999938525,1.009551761966536,4,1,-1.4421259221,0.36286903653093866,1.2095882415821793,0.35943579140914506,0.36286903653093866,0.36286903653093877
1042101,2,QA,3.9999568604,0.2500008987,1.029043086124915,8,2,-1.9467453775,0.23232184144841347,0.9292840252034402,0.2257649311101946,0.23232184144841347,0.305232454903408
1042638,2,QA,6.6666673927,0.1499999946,1.008692783626538,8,2,-3.5200211403,0.3460795655430405,2.307197186679369,0.34309709671837424,0.3460795655430405,0.45695896533290614
1051091,2,QA,2.8571428339,0.350000001,1.014682041620527,12,3,-3.375157862,0.29329560586805725,0.8379874429430566,0.2890517362460077,0.29329560586805725,0.30617652208553214
1052272,2,QA,4.0000051648,0.2499998924,1.007394291728359,12,3,-2.4420104725,0.30382788711017056,1.2153120715109977,0.3015977851024958,0.30382788711017056,0.3990910458420586
1060080,2,QA,20.0000000971,0.0499999999,1.000813069808846,16,4,-4.3455257537,0.22458508847906863,4.491701778564776,0.2244026334727664,0.22458508847906863,0.5593302010605739
1075299,3,QA,9.9999960644,0.1000000131,1.010602322758247,6,1,-2.5423653015,0.2890823255888218,2.890822877190421,0.28604953608242906,0.2890823255888218,0.2890823255888219
1077221,3,QA,3.3321395845,0.300035821,1.019227469784401,6,1,-1.183328137,0.22736361269564076,0.757788226545259,0.22307445534580753,0.22736361269564076,0.22736361269564098
1081587,3,QA,5.0000003766,0.199999995,1.055681149844915,12,2,-3.0701971127,0.17352025408853589,0.8676012921327116,0.16436805195775914,0.17352025408853589,0.23154119166148848
1081620,3,QA,10.0000000744,0.0999999998,1.025267428294943,12,2,-3.6100746976,0.24832824844520424,2.4832824894186074,0.2422082683911876,0.24832824844520424,0.2711035812820009
1090019,3,QA,20.0000006605,0.0499999994,0.9992243099309656,12,2,-3.9045776914,0.265629648740095,5.312593038553016,0.26583585497279066,0.265629648740095,0.31483963505617035
1090727,3,QA,10.0000001607,0.0999999995,1.02007925397042,18,3,-3.5293698228,0.1844843537715376,1.8448435469395936,0.1808529612316645,0.1844843537715376,0.2941712578456343
1090831,3,QA,19.9999999793,0.05,1.005383431606252,18,3,-4.3735964885,0.18365967676955514,3.6731935353911025,0.1826762516626428,0.18365967676955514,0.3450815077988937
1090990,3,QA,3.3333348559,0.2999999543,1.065407677838344,18,3,-2.6283438389,0.09248107092823193,0.30827028338727963,0.08680345829295238,0.09248107092823193,0.21089123963858905
1095472,3,QA,19.9999998863,0.0500000001,1.013695500035791,24,4,-4.4698254943,0.3014427055870439,6.02885409968317,0.29737007373160945,0.3014427055870439,0.40381215564159156
1096180,3,QA,10.0000000874,0.0999999997,1.011624753099041,24,4,-3.5960428698,0.14666000442954552,1.4666000486952555,0.14497470922915137,0.14666000442954552,0.25338823295128243
1097975,4,QA,4.0002094841,0.2499956359,1.068591040868567,8,1,-1.4813422913,0.1586412487888147,0.6345760725690119,0.14845833693296612,0.1586412487888147,0.15864124878881483
